18-Dec-2012 01:29 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation.chm not found., InitStationSettings()
18-Dec-2012 01:29 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation_be.mdb not found., UpdateAllLinks()
18-Dec-2012 01:30 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation_be.mdb not found., UpdateAllLinks()
18-Dec-2012 01:30 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation_be.mdb not found., UpdateAllLinks()
18-Dec-2012 01:30 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation_be.mdb not found., UpdateAllLinks()
18-Dec-2012 01:30 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation_be.mdb not found., UpdateAllLinks()
18-Dec-2012 01:30 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation.chm not found., InitStationSettings()
18-Dec-2012 01:30 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation_be.mdb not found., UpdateAllLinks()
18-Dec-2012 01:30 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation_be.mdb not found., UpdateAllLinks()
18-Dec-2012 01:30 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation_be.mdb not found., UpdateAllLinks()
18-Dec-2012 01:30 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation_be.mdb not found., UpdateAllLinks()
18-Dec-2012 01:30 PM,  0, File C:\Users\keith\Documents\Systems\Templates\Reports3.14\DataPresentation\DataPresentation_be.mdb not found., UpdateAllLinks()
28-Sep-2015 09:27 AM,  0, File D:\@configfiles\Reports\DataPresentationCampbellford\ExcelPresentation.xls not found., InitStationSettings()
28-Sep-2015 10:01 AM,  0, File D:\@configfiles\Reports\DataPresentationCampbellford\ExcelPresentation.xls not found., InitStationSettings()
28-Sep-2015 10:04 AM,  0, File ODBC;DRIVER=SQL Server;SERVER=ISL-SVR01\SQLEXPRESS;DATABASE=plc_be_2015;UID=sa;PWD=MySQLPassword6; not found., InitStationSettings()
